"","id","sp_ives","sp","lat","long","sex","CS","LogCS","biome","fac","pch","BIO1","BIO2","BIO3","BIO4","BIO5","BIO6","BIO7","BIO8","BIO9","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19","Elev","NPP","Humid","Soil_P","Soil_Moist","Cluster"
"1","Sapajus_apella -1.0917 -57.0386 M","Sapajus_apella","Sapajus_apella",-1.0917,-57.0386,"M",11.44344709,2.437304484,"Forest","AM",15,26.97599983,27.87999916,26.43666649,2680,406,90,50.61932373,1162,334,394,933,8.643332481,79.06452179,61.26715851,32.95999908,22.02799988,10.93199921,26.58333397,27.1566658,46,0.752037336,81,5.158291779,95.46065099,"Warm & Moderately Seasonal"
"2","Sapajus_apella -1.323968462 -51.4369875 M","Sapajus_apella_2","Sapajus_apella",-1.323968462,-51.4369875,"M",9.121005985,2.210580103,"Forest","AM",15,26.29333305,26.93599892,25.69333267,2353,334,51,53.52019882,964,207,225,846,9.165332794,83.01934052,49.96668625,32.31599808,21.27600098,11.0399971,25.98266602,26.88533211,12,0.807136737,84,5.418906212,103.2875485,"Thermally Stable & Dry-Seasonal"
"3","Sapajus_apella -1.477914392 -56.37492323 F","Sapajus_apella_3","Sapajus_apella",-1.477914392,-56.37492323,"F",9.424606785,2.243324012,"Forest","AM",15,27.03333282,27.95533371,26.45800018,2482,401,80,55.51443863,1090,275,318,950,8.821332932,78.98757172,63.50279999,33.18000031,22.01199913,11.16800117,26.59399986,27.25533295,30,0.779543817,82,5.300911548,92.22763651,"Warm & Moderately Seasonal"
"4","Sapajus_apella -2.18919133 -54.91178962 F","Sapajus_apella_4","Sapajus_apella",-2.18919133,-54.91178962,"F",8.079264156,2.089300799,"Forest","AM",15,26.52600098,27.36533356,25.97266769,1767,321,25,72.17172241,868,103,144,868,7.971333504,77.93639374,64.74720764,32.0359993,21.80800056,10.22799873,25.97266769,27.27000046,20,0.799178385,82.62452219,5.371348803,84.14745176,"Thermally Stable & Dry-Seasonal"
"5","Sapajus_apella -2.18919133 -54.91178962 M","Sapajus_apella_5","Sapajus_apella",-2.18919133,-54.91178962,"M",9.525156394,2.25393634,"Forest","AM",15,26.52600098,27.36533356,25.97266769,1767,321,25,72.17172241,868,103,144,868,7.971333504,77.93639374,64.74720764,32.0359993,21.80800056,10.22799873,25.97266769,27.27000046,20,0.799178385,82.62452219,5.371348803,84.14745176,"Thermally Stable & Dry-Seasonal"
"6","Sapajus_apella -2.597745966 -43.45908946 F","Sapajus_apella_6","Sapajus_apella",-2.597745966,-43.45908946,"F",8.550208799,2.145955704,"Forest","AM",15,27.18766594,27.8579998,26.75,1842,379,8,91.79764557,1031,28,80,1028,9.197333336,81.27724457,48.79886246,33.10400009,21.78800011,11.31599998,26.77466583,27.84399986,12,0.518083781,78.84790568,5.137208343,71.36270364,"Warm & Moderately Seasonal"
"7","Sapajus_apella -2.597745966 -43.45908946 M","Sapajus_apella_7","Sapajus_apella",-2.597745966,-43.45908946,"M",9.038308621,2.201472057,"Forest","AM",15,27.18766594,27.8579998,26.75,1842,379,8,91.79764557,1031,28,80,1028,9.197333336,81.27724457,48.79886246,33.10400009,21.78800011,11.31599998,26.77466583,27.84399986,12,0.518083781,78.84790568,5.137208343,71.36270364,"Warm & Moderately Seasonal"
"8","Sapajus_apella -2.629249831 -55.15298626 M","Sapajus_apella_8","Sapajus_apella",-2.629249831,-55.15298626,"M",9.143973505,2.213095029,"Forest","AM",15,26.5605011,27.32666779,26.0233345,1804,309,31,67.28200531,850,120,162,850,7.98766613,77.79184723,63.34131622,32.00799942,21.73999977,10.26799965,26.0233345,27.32466698,4,0.810019959,86,4.987437463,91.46227864,"Thermally Stable & Dry-Seasonal"
"9","Sapajus_apella -2.633641 -65.820283 M","Sapajus_apella_9","Sapajus_apella",-2.633641,-65.820283,"M",11.68616734,2.458405864,"Forest","AM",15,26.71466637,27.01533318,26.40333366,2960,333,169,21.59472466,945,531,626,731,8.864666939,87.6995163,27.18626022,31.90799904,21.79999924,10.1079998,26.597332,26.64533234,46,1.003765614,87,5.352937597,145.5909055,"Thermally Stable & Dry-Seasonal"
"10","Sapajus_apella -2.652293397 -55.72410329 F","Sapajus_apella_10","Sapajus_apella",-2.652293397,-55.72410329,"F",7.450828075,2.008325177,"Forest","AM",15,26.64299965,27.51399994,26.08133316,1985,320,36,62.33409882,898,144,196,844,8.684000015,77.75788116,62.59736252,32.63199997,21.4640007,11.16799927,26.09933281,27.35199928,43,0.796081151,85,4.994863035,89.15385258,"Thermally Stable & Dry-Seasonal"
