Bioma,Specie,Sesso,analisar,local,ordemTPS,long,lat,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,AET,NPP,CHMmais2
AF,Sapajus_nigritus,M,y,45,1,-51.767,-27.417,1.264817823,2.056904851,1.740362689,3.499274582,2.456366033,1.908485019,2.311753861,2.235528447,2.250420002,2.346352974,2.155336037,3.229681842,2.303196057,2.053078443,1.278753601,2.7084209,2.565847819,2.650307523,2.565847819,1.837791645,0.045714036,1.322219295
SV,Sapajus_cay,Indefinito,n,25,2,-56.283,-21.8,1.367355921,2.068185862,1.785329835,3.396548038,2.503790683,2.10720997,2.281033367,2.408239965,2.29666519,2.411619706,2.29666519,3.135768515,2.245512668,1.633468456,1.568201724,2.698100546,2.209515015,2.611723308,2.372912003,1.984327914,-0.121478215,1.041392685
AM,Sapajus_apella,M,y,5,3,-49.217,-5.233,1.431363764,1.991226076,1.908485019,2.521138084,2.522444234,2.328379603,2.079181246,2.424881637,2.436162647,2.437750563,2.424881637,3.280805928,2.555094449,1.204119983,1.892094603,2.992111488,1.826074803,1.913813852,2.992111488,1.961619455,-0.136677129,0.301029996
AM,Sapajus_apella,M,y,5,4,-49.217,-5.233,1.431363764,1.991226076,1.908485019,2.521138084,2.522444234,2.328379603,2.079181246,2.424881637,2.436162647,2.437750563,2.424881637,3.280805928,2.555094449,1.204119983,1.892094603,2.992111488,1.826074803,1.913813852,2.992111488,1.961619455,-0.136677129,0.301029996
AM,Sapajus_apella,M,y,5,5,-49.217,-5.233,1.431363764,1.991226076,1.908485019,2.521138084,2.522444234,2.328379603,2.079181246,2.424881637,2.436162647,2.437750563,2.424881637,3.280805928,2.555094449,1.204119983,1.892094603,2.992111488,1.826074803,1.913813852,2.992111488,1.961619455,-0.136677129,0.301029996
AM,Sapajus_apella,M,y,5,6,-49.217,-5.233,1.431363764,1.991226076,1.908485019,2.521138084,2.522444234,2.328379603,2.079181246,2.424881637,2.436162647,2.437750563,2.424881637,3.280805928,2.555094449,1.204119983,1.892094603,2.992111488,1.826074803,1.913813852,2.992111488,1.961619455,-0.136677129,0.301029996
AM,Sapajus_apella,F,y,15,7,-59,-2.883,1.42975228,1.934498451,1.913813852,2.64246452,2.511883361,2.344392274,2.017033339,2.423245874,2.436162647,2.439332694,2.423245874,3.34752516,2.499687083,1.924279286,1.633468456,2.930949031,2.434568904,2.46686762,2.928395852,2.098737151,-0.084072788,1.491361694
AM,Sapajus_apella,F,y,14,8,-59.05,-2.9,1.432969291,1.934498451,1.913813852,2.632457292,2.514547753,2.348304863,2.017033339,2.426511261,2.439332694,2.442479769,2.424881637,3.351603072,2.494154594,1.939519253,1.62324929,2.92890769,2.445604203,2.482873584,2.924795996,2.093419227,-0.06449274,1.278753601
AM,Sapajus_apella,F,y,6,9,-72.883,-5.167,1.418301291,2,1.919078092,2.600972896,2.506505032,2.303196057,2.079181246,2.419955748,2.411619706,2.424881637,2.408239965,3.378579576,2.456366033,2.004321374,1.477121255,2.892094603,2.547774705,2.796574333,2.550228353,2.104203285,-0.007446491,1.51851394
SV,Sapajus_apella,M,y,1,10,-52.25,-15.883,1.408239965,2.096910013,1.819543936,3.102433706,2.527629901,2.173186268,2.274157849,2.418301291,2.376576957,2.428134794,2.374748346,3.202488317,2.492760389,0.698970004,1.908485019,2.909020854,1.431363764,2.615950052,1.633468456,1.906754063,-0.119186413,0.301029996
