id;sp;sp_ives;lat;long;biome;fac;pch;CS;LogCS;bio1;bio2;bio3;bio4;bio5;bio6;bio7;bio8;bio9;bio10;bio11;bio12;bio13;bio14;bio15;bio16;bio17;bio18;bio19;npp;humid;soilmoist
1;Sapajus_apella;Sapajus_apella_15;-8.7525;-63.4557;Forest;AM;15;10.2677;2.3282;25.5357;10.706;72.7903;42.885;32.632;17.924;14.708;25.5493;25.0267;26.0073;24.958;2239;352;17;67.3259;1015;88;488;177;0.853;83;96.7355
2;Sapajus_apella;Sapajus_apella_14;-7.2762;-70.3004;Forest;AM;15;11.0042;2.3966;25.2255;10.4157;81.4997;48.7574;31.096;18.316;12.78;25.3433;24.5067;25.6887;24.5067;2354;303;58;45.7331;866;226;720;226;0.976;87;127.5351
3;Sapajus_apella;Sapajus_apella_13;-6.6611;-69.8671;Forest;AM;15;9.2623;2.226;25.9247;10.668;82.5441;43.0965;31.976;19.052;12.924;25.8973;25.3573;26.386;25.3573;2499;338;64;47.4423;983;238;608;238;0.909;87;130.7191
4;Sapajus_apella;Sapajus_apella_12;-3.8283;-55.4939;Forest;AM;15;9.1565;2.2082;26.4732;9.0317;77.4585;59.2344;32.536;20.876;11.66;25.9353;26.71;27.302;25.9113;1943;306;50;55.88;833;192;244;797;0.82;86;88.8153
5;Sapajus_apella;Sapajus_apella_11;-3.8012;-52.5331;Forest;AM;15;9.9077;2.2933;25.175;9.7333;79.7553;48.8147;31.516;19.312;12.204;24.752;25.766;25.8927;24.692;1944;360;31;71.6677;942;125;162;900;0.811;85;92.4095
6;Sapajus_apella;Sapajus_apella_10;-3.1385;-58.1584;Forest;AM;15;8.5003;2.1395;27.076;8.5127;78.5012;59.4623;32.792;21.948;10.844;26.498;27.7993;27.944;26.498;2124;315;72;49.99;865;237;268;865;0.852;83;95.2288
7;Sapajus_apella;Sapajus_apella_9;-2.8134;-55.1924;Forest;AM;15;9.0458;2.2023;26.5028;8.3223;77.0586;63.2435;32.208;21.408;10.8;25.9753;27.238;27.2893;25.9753;1812;305;32;65.4867;840;128;171;401;0.797;86;93.7275
8;Sapajus_apella;Sapajus_apella_8;-2.6523;-55.7241;Forest;AM;15;8.6567;2.1485;26.643;8.684;77.7579;62.5974;32.632;21.464;11.168;26.0993;27.352;27.514;26.0813;1985;320;36;62.3341;898;144;196;844;0.797;85;89.7213
9;Sapajus_apella;Sapajus_apella_7;-2.6336;-65.8203;Forest;AM;15;11.6862;2.4584;26.7147;8.8647;87.6995;27.1863;31.908;21.8;10.108;26.5973;26.6453;27.0153;26.4033;2960;333;169;21.5947;945;531;626;731;1.002;87;145.443
10;Sapajus_apella;Sapajus_apella_6;-2.6292;-55.153;Forest;AM;15;9.144;2.2131;26.5605;7.9877;77.7918;63.3413;32.008;21.74;10.268;26.0233;27.3247;27.3267;26.0233;1804;309;31;67.282;850;120;162;850;0.797;86;93.7275
11;Sapajus_apella;Sapajus_apella_5;-2.5977;-43.4591;Forest;AM;15;8.7943;2.1737;27.1877;9.1973;81.2772;48.7989;33.104;21.788;11.316;26.7747;27.844;27.858;26.75;1842;379;8;91.7976;1031;28;80;1028;0.522;78;69.0412
12;Sapajus_apella;Sapajus_apella_4;-2.1892;-54.9118;Forest;AM;15;8.8022;2.1716;26.526;7.9713;77.9364;64.7472;32.036;21.808;10.228;25.9727;27.27;27.3653;25.9727;1767;321;25;72.1717;868;103;144;868;0.824;83;82.6148
13;Sapajus_apella;Sapajus_apella_3;-1.4779;-56.3749;Forest;AM;15;9.4246;2.2433;27.0333;8.8213;78.9876;63.5028;33.18;22.012;11.168;26.594;27.2553;27.9553;26.458;2482;401;80;55.5144;1090;275;318;950;0.784;82;94.0707
14;Sapajus_apella;Sapajus_apella_2;-1.324;-51.437;Forest;AM;15;9.121;2.2106;26.2933;9.1653;83.0193;49.9667;32.316;21.276;11.04;25.9827;26.8853;26.936;25.6933;2353;334;51;53.5202;964;207;225;846;0.804;84;107.5275
15;Sapajus_apella;Sapajus_apella;-1.0917;-57.0386;Forest;AM;15;11.4434;2.4373;26.976;8.6433;79.0645;61.2672;32.96;22.028;10.932;26.5833;27.1567;27.88;26.4367;2680;406;90;50.6193;1162;334;394;933;0.734;81;92.7267
16;Sapajus_cay;Sapajus_cay_18;-21.7254;-52.2508;Savanna;SV;17;8.4432;2.1334;23.2998;11.297;62.789;250.9065;31.032;13.04;17.992;25.8653;20.0407;25.8653;19.8873;1173;167;33;48.0174;487;128;487;161;0.551;70;101.5737
17;Sapajus_cay;Sapajus_cay_17;-21.4349;-55.6552;Savanna;SV;17;8.219;2.1064;22.6505;11.487;62.4022;244.7049;30.688;12.28;18.408;25.024;19.4667;25.15;19.42;1424;190;41;40.9871;519;154;515;226;0.457;73;114.6192
18;Sapajus_cay;Sapajus_cay_16;-21.2585;-51.911;Savanna;SV;17;7.8334;2.0584;23.2455;10.811;61.496;252.7165;30.652;13.072;17.58;25.772;19.9173;25.772;19.8293;1094;177;23;57.2889;486;90;486;131;0.832;69;85.0765
19;Sapajus_cay;Sapajus_cay_15;-20.2481;-56.3995;Savanna;SV;17;9.0307;2.2006;24.7215;11.6717;62.7644;255.4868;32.864;14.268;18.596;27.1773;21.26;27.1773;21.26;1318;207;32;52.2641;558;122;558;122;0.655;71;82.362
20;Sapajus_cay;Sapajus_cay_14;-20.2019;-56.5484;Savanna;SV;17;8.3987;2.1264;24.8125;11.7343;62.5764;257.91;33;14.248;18.752;27.304;21.3247;27.304;21.3247;1291;204;33;52.4222;547;121;547;121;0.655;71;65.659
21;Sapajus_cay;Sapajus_cay_13;-19.0316;-57.6311;Savanna;SV;17;8.5138;2.14;25.8858;10.317;63.0315;229.9044;33.244;16.876;16.368;27.9307;22.79;28.0267;22.7133;1045;181;21;62.0209;468;74;455;105;0.513;73;22.752
