id;bio1;bio2;bio3;bio4;bio5;bio6;bio7;bio8;bio9;bio10;bio11;bio12;bio13;bio14;bio15;bio16;bio17;bio18;bio19;npp;humid;soilmoist
1;0.647;-0.009;0.441;-1.400;0.600;0.603;-0.303;0.274;0.764;0.190;0.940;1.341;1.241;-0.511;0.168;1.435;-0.312;0.175;-0.310;0.460;1.039;0.373
2;0.498;-0.161;1.537;-1.319;-0.168;0.712;-0.908;0.140;0.598;0.000;0.783;1.592;0.534;0.736;-0.895;0.676;0.977;1.408;-0.156;1.100;1.694;1.613
3;0.835;-0.029;1.668;-1.397;0.272;0.917;-0.863;0.500;0.870;0.416;1.080;1.908;1.039;0.919;-0.811;1.272;1.089;0.813;-0.118;0.752;1.694;1.741
4;1.099;-0.886;1.029;-1.175;0.552;1.424;-1.260;0.525;1.304;0.963;1.273;0.695;0.578;0.493;-0.396;0.508;0.659;-1.122;1.640;0.288;1.530;0.054
5;0.474;-0.518;1.317;-1.318;0.042;0.989;-1.089;-0.245;1.001;0.122;0.848;0.697;1.356;-0.085;0.382;1.063;0.034;-1.557;1.964;0.242;1.366;0.199
6;1.389;-1.157;1.160;-1.172;0.680;1.722;-1.516;0.891;1.652;1.347;1.478;1.090;0.707;1.162;-0.686;0.671;1.080;-0.994;1.854;0.455;1.039;0.312
7;1.113;-1.257;0.978;-1.120;0.388;1.572;-1.529;0.551;1.473;0.956;1.296;0.409;0.563;-0.055;0.077;0.544;0.062;-1.510;0.395;0.169;1.530;0.252
8;1.181;-1.068;1.066;-1.129;0.600;1.588;-1.414;0.631;1.509;1.090;1.333;0.787;0.780;0.067;-0.078;0.839;0.211;-1.377;1.788;0.169;1.366;0.091
9;1.215;-0.973;2.317;-1.615;0.238;1.681;-1.747;0.955;1.283;0.792;1.445;2.914;0.967;4.112;-2.084;1.078;3.825;0.908;1.432;1.236;1.694;2.334
10;1.141;-1.432;1.071;-1.119;0.288;1.665;-1.696;0.582;1.500;0.978;1.313;0.392;0.621;-0.085;0.166;0.595;-0.013;-1.557;1.807;0.169;1.530;0.252
11;1.443;-0.799;1.509;-1.319;0.836;1.678;-1.368;1.071;1.667;1.295;1.566;0.475;1.630;-0.785;1.373;1.516;-0.872;-1.993;2.366;-1.263;0.220;-0.742
12;1.124;-1.441;1.089;-1.100;0.302;1.684;-1.709;0.549;1.483;1.001;1.295;0.311;0.794;-0.268;0.407;0.686;-0.172;-1.653;1.863;0.309;1.039;-0.196
13;1.369;-0.996;1.221;-1.117;0.874;1.740;-1.414;0.953;1.478;1.353;1.464;1.871;1.947;1.405;-0.414;1.817;1.434;-0.728;2.121;0.101;0.875;0.266
14;1.012;-0.816;1.728;-1.303;0.442;1.535;-1.454;0.556;1.360;0.745;1.197;1.590;0.981;0.523;-0.512;1.175;0.799;-1.223;1.794;0.205;1.203;0.807
15;1.341;-1.089;1.231;-1.147;0.764;1.745;-1.488;0.946;1.447;1.308;1.457;2.303;2.020;1.709;-0.655;2.183;1.985;-0.325;2.068;-0.159;0.711;0.212
16;-0.430;0.301;-0.816;1.456;-0.200;-0.756;0.727;0.479;-0.832;0.106;-0.831;-0.985;-1.426;-0.024;-0.783;-1.253;0.062;0.170;-0.360;-1.112;-1.090;0.568
17;-0.742;0.400;-0.865;1.371;-0.373;-0.968;0.857;-0.068;-1.016;-0.321;-0.994;-0.437;-1.095;0.219;-1.129;-1.090;0.305;0.318;-0.156;-1.601;-0.599;1.093
18;-0.456;0.046;-0.979;1.481;-0.391;-0.747;0.598;0.419;-0.872;0.050;-0.851;-1.158;-1.282;-0.329;-0.326;-1.258;-0.293;0.164;-0.454;0.351;-1.254;-0.096
19;0.255;0.497;-0.819;1.519;0.716;-0.414;0.916;1.333;-0.442;0.889;-0.351;-0.669;-0.850;-0.055;-0.574;-0.892;0.006;0.547;-0.483;-0.570;-0.926;-0.206
20;0.299;0.530;-0.843;1.552;0.784;-0.420;0.965;1.415;-0.421;0.965;-0.329;-0.728;-0.893;-0.024;-0.566;-0.948;-0.004;0.488;-0.486;-0.570;-0.926;-0.878
21;0.816;-0.212;-0.786;1.168;0.906;0.311;0.217;1.823;0.048;1.396;0.156;-1.264;-1.225;-0.389;-0.093;-1.350;-0.443;0.000;-0.536;-1.310;-0.599;-2.605
22;-0.014;0.841;-0.641;0.751;0.402;-0.759;1.108;0.307;-0.411;0.143;-0.328;-0.265;-0.158;-0.298;0.094;-0.133;-0.274;0.435;-0.467;0.252;-0.762;0.057
23;0.567;0.521;-0.778;0.759;0.986;-0.258;0.909;1.136;-0.045;0.829;0.081;-0.588;-0.533;-0.389;0.188;-0.515;-0.489;0.116;-0.649;-0.753;-0.435;-1.159
24;0.936;0.975;-0.357;0.588;1.346;-0.160;1.024;1.481;0.254;1.287;0.408;-0.571;-0.360;-0.359;0.338;-0.388;-0.433;0.069;-0.630;-0.451;0.056;-0.952
25;0.519;0.710;-0.380;0.082;0.932;-0.192;0.801;0.866;0.154;0.467;0.298;-0.453;-0.734;-0.542;0.171;-0.546;-0.620;0.738;-0.693;-0.289;-0.599;-0.882
