biome	traj1	traj2	sp	Size	fac	pch
Forest	cladetwo	0	Sapajus_xanthosternos	2.236162293	AF	8
Savanna	cladeone	1	Sapajus_libidinosus	2.174015931	SV_lib	25
Forest	cladeone	0	Sapajus_apella	2.343771486	AM	15
Forest	cladeone	0	Sapajus_apella	2.272436291	AM	15
Forest	cladeone	0	Sapajus_apella	2.36833606	AM	15
Forest	cladeone	0	Sapajus_apella	2.243324012	AM	15
Forest	cladeone	0	Sapajus_apella	2.45232314	AM	15
Forest	cladeone	0	Sapajus_apella	2.422285827	AM	15
Savanna	cladetwo	1	Sapajus_cay	2.17776543	SV_cay	17
Savanna	cladetwo	1	Sapajus_cay	2.214998023	SV_cay	17
Savanna	cladetwo	1	Sapajus_cay	2.183779497	SV_cay	17
Forest	cladetwo	0	Sapajus_xanthosternos	2.223089852	AF	8
Forest	cladetwo	0	Sapajus_xanthosternos	2.25354024	AF	8
Forest	cladetwo	0	Sapajus_xanthosternos	2.192497149	AF	8
Forest	cladetwo	0	Sapajus_xanthosternos	2.402537655	AF	8
Forest	cladeone	0	Sapajus_robustus	2.30434499	AF	18
Forest	cladeone	0	Sapajus_robustus	2.310515482	AF	18
Forest	cladeone	0	Sapajus_robustus	2.252479922	AF	18
Forest	cladeone	0	Sapajus_robustus	2.270815162	AF	18
Savanna	cladeone	1	Sapajus_libidinosus	2.22791162	SV_lib	25
Savanna	cladeone	1	Sapajus_libidinosus	2.307843213	SV_lib	25
Savanna	cladeone	1	Sapajus_libidinosus	2.368729656	SV_lib	25
Forest	cladeone	0	Sapajus_apella	2.453831336	AM	15
Forest	cladeone	0	Sapajus_apella	2.339461489	AM	15
Forest	cladeone	0	Sapajus_apella	2.458405864	AM	15
Forest	cladeone	0	Sapajus_apella	2.225953893	AM	15
Forest	cladetwo	0	Sapajus_nigritus	2.210472008	AF	19
Forest	cladetwo	0	Sapajus_nigritus	2.266865938	AF	19
Forest	cladetwo	0	Sapajus_nigritus	2.449702275	AF	19
Forest	cladetwo	0	Sapajus_nigritus	2.473589002	AF	19
Forest	cladetwo	0	Sapajus_nigritus	2.173576334	AF	19
Forest	cladetwo	0	Sapajus_nigritus	2.23736728	AF	19
Forest	cladetwo	0	Sapajus_nigritus	2.251144744	AF	19
Forest	cladetwo	0	Sapajus_nigritus	2.206669169	AF	19
Forest	cladetwo	0	Sapajus_nigritus	2.218324554	AF	19
Forest	cladetwo	0	Sapajus_nigritus	2.341449347	AF	19
Forest	cladetwo	0	Sapajus_nigritus	2.383974545	AF	19
Forest	cladetwo	0	Sapajus_nigritus	2.254975027	AF	19
Forest	cladetwo	0	Sapajus_nigritus	2.165610194	AF	19
Savanna	cladeone	1	Sapajus_libidinosus	2.15986724	SV_lib	25
Savanna	cladeone	1	Sapajus_libidinosus	2.186250531	SV_lib	25
Savanna	cladeone	1	Sapajus_libidinosus	2.110379433	SV_lib	25
Savanna	cladeone	1	Sapajus_libidinosus	2.174488342	SV_lib	25
Savanna	cladeone	1	Sapajus_libidinosus	2.135854906	SV_lib	25
Savanna	cladeone	1	Sapajus_libidinosus	2.240986681	SV_lib	25
Savanna	cladeone	1	Sapajus_libidinosus	2.16405407	SV_lib	25
Savanna	cladeone	1	Sapajus_libidinosus	2.3626607	SV_lib	25
Savanna	cladeone	1	Sapajus_libidinosus	2.248252035	SV_lib	25
Savanna	cladeone	1	Sapajus_libidinosus	2.338227068	SV_lib	25
Forest	cladeone	0	Sapajus_robustus	2.326215447	AF	18
Forest	cladeone	0	Sapajus_robustus	2.356907992	AF	18
Forest	cladeone	0	Sapajus_robustus	2.142071867	AF	18
Forest	cladeone	0	Sapajus_robustus	2.369968553	AF	18
Forest	cladeone	0	Sapajus_robustus	2.079268086	AF	18
Forest	cladeone	0	Sapajus_robustus	2.145952159	AF	18
Forest	cladeone	0	Sapajus_robustus	2.193758185	AF	18
Forest	cladeone	0	Sapajus_robustus	2.118784261	AF	18
Forest	cladetwo	0	Sapajus_xanthosternos	2.137155811	AF	8
Savanna	cladetwo	1	Sapajus_cay	2.115018971	SV_cay	17
Savanna	cladetwo	1	Sapajus_cay	2.165082665	SV_cay	17
Savanna	cladetwo	1	Sapajus_cay	2.074225655	SV_cay	17
Savanna	cladetwo	1	Sapajus_cay	2.356448612	SV_cay	17
Savanna	cladetwo	1	Sapajus_cay	2.302942561	SV_cay	17
Savanna	cladetwo	1	Sapajus_cay	2.097796281	SV_cay	17
Savanna	cladetwo	1	Sapajus_cay	2.184214052	SV_cay	17
Savanna	cladetwo	1	Sapajus_cay	2.107211229	SV_cay	17
Savanna	cladetwo	1	Sapajus_cay	2.13335654	SV_cay	17
Savanna	cladetwo	1	Sapajus_cay	2.068601462	SV_cay	17
Savanna	cladetwo	1	Sapajus_cay	2.214972033	SV_cay	17
Savanna	cladetwo	1	Sapajus_cay	2.136642567	SV_cay	17
Savanna	cladetwo	1	Sapajus_cay	2.058174865	SV_cay	17
Savanna	cladetwo	1	Sapajus_cay	2.140871536	SV_cay	17
Savanna	cladetwo	1	Sapajus_cay	2.066675969	SV_cay	17
