sp_ives	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	npp	humid	pevapo	soilmoist	gdd	evapo
Sapajus_apella	1.292276152	-1.043438045	1.232572773	-1.140350311	0.792213485	1.704730679	-1.486958636	0.952088154	1.399807428	1.267117322	1.410924949	2.30636933	2.013573469	1.739750979	-0.610640669	2.175761366	2.017665209	-0.275638492	2.028641869	-0.160329279	0.669198421	2.130389433	0.162008746	1.174948975	2.199789756
Sapajus_apella_2	0.9823609	-0.758796642	1.721007033	-1.295267845	0.481180576	1.497398638	-1.451608602	0.577771053	1.316371417	0.731959267	1.162327978	1.587307943	0.983605563	0.511222637	-0.466069071	1.174824651	0.793947777	-1.148016905	1.755628172	0.190920276	1.166602621	1.551268724	0.709043884	1.094988433	1.830788354
Sapajus_apella_3	1.318304031	-0.946376229	1.223069164	-1.109702029	0.898467393	1.700319146	-1.409710115	0.958734796	1.430147904	1.309824823	1.418059686	1.870974362	1.94204792	1.424743712	-0.366681671	1.811784379	1.449166559	-0.667950678	2.081989374	0.090563045	0.834999821	1.684397739	0.211682843	1.145333959	1.701658739
Sapajus_apella_4	1.087986869	-1.409872178	1.093244923	-1.092642515	0.345949675	1.644075127	-1.717393143	0.571540413	1.434658212	0.975351039	1.255747433	0.298714754	0.797639135	-0.307796257	0.463471317	0.689522001	-0.208151537	-1.566139103	1.824666119	0.291277207	1.000801221	1.120588415	-0.211725518	1.043162156	0.542854269
Sapajus_apella_5	1.087986869	-1.409872178	1.093244923	-1.092642515	0.345949675	1.644075127	-1.717393143	0.571540413	1.434658212	0.975351039	1.255747433	0.298714754	0.797639135	-0.307796257	0.463471317	0.689522001	-0.208151537	-1.566139103	1.824666119	0.291277207	1.000801221	1.120588415	-0.211725518	1.043162156	0.542854269
Sapajus_apella_6	1.388367771	-0.741347075	1.505851952	-1.311277475	0.861761596	1.638560845	-1.36126692	1.071320064	1.611164932	1.254645784	1.515714694	0.46363709	1.627335504	-0.843308612	1.441573088	1.513525458	-0.930819312	-1.896507259	2.326760275	-1.224113811	0.171794222	1.445416677	-0.713403694	1.250467264	-0.250333867
Sapajus_apella_7	1.388367771	-0.741347075	1.505851952	-1.311277475	0.861761596	1.638560845	-1.36126692	1.071320064	1.611164932	1.254645784	1.515714694	0.46363709	1.627335504	-0.843308612	1.441573088	1.513525458	-0.930819312	-1.896507259	2.326760275	-1.224113811	0.171794222	1.445416677	-0.713403694	1.250467264	-0.250333867
Sapajus_apella_8	1.103649142	-1.400966165	1.075392912	-1.111915801	0.332426584	1.625326772	-1.704299981	0.603114352	1.451468348	0.953431237	1.272692196	0.38007644	0.625977817	-0.118791897	0.219781331	0.598527754	-0.044346842	-1.473223059	1.768180526	0.155795172	1.498205421	0.913648988	0.198998199	0.806242033	0.844595282
Sapajus_apella_9	1.173636682	-0.922746641	2.299025484	-1.607563415	0.28412944	1.6418691	-1.756671376	0.960811279	1.242570692	0.776934222	1.399777279	2.922079386	0.969300453	4.228308391	-2.057146471	1.078775168	3.915872563	0.921946075	1.394747998	1.1844546	1.664006821	0.789674071	2.110394758	0.865472064	1.714579838
Sapajus_apella_10	1.141101615	-1.021262457	1.071197981	-1.12211462	0.633799884	1.549231647	-1.409710737	0.650474074	1.459873121	1.059630689	1.292088987	0.778089012	0.783334025	0.038711736	-0.026808654	0.841179079	0.186906846	-1.297714976	1.749351995	0.155795172	1.332404021	1.594402638	0.05092957	0.997258883	1.454401639
