TPS,Espécime,Foto,Tombo,Museu,Localidade,Especie,Sexo,Local,Coordenadas,Obs,Massa (g),Data de coleta
0,1,JN 1005,23233,Museu Nacional (MN),BA - Belmonte,Sapajus_xanthosternos,F,6,"15°51'54.5""S 38°52'21.8""W",,2300,
1,2,JN 1006,23240,Museu Nacional (MN),"BA - Faz. Sucurui, itajuípe",Sapajus_libidinosus,F,8,"14°41'07.0""S 39°21'52.0""W",,,
2,3,JN 356,21764,Museu Emilo Goeldi (MG),"RO - UHE de Samuel, rio Jamari, afl. dir. rio Madeira",Sapajus_apella,F,63,"8°45'09.0""S 63°27'20.4""W",,,
3,4,JN 357,21765,Museu Emilo Goeldi (MG),"RO - UHE de Samuel, rio Jamari, afl. dir. rio Madeira",Sapajus_apella,F,63,"8°45'09.0""S 63°27'20.4""W",,,
4,5,JN 358,21766,Museu Emilo Goeldi (MG),"RO - UHE de Samuel, rio Jamari, afl. dir. rio Madeira",Sapajus_apella,M,63,"8°45'09.0""S 63°27'20.4""W",,,
5,6,JN 359,26521,Museu Emilo Goeldi (MG),"PA - Oriximiná, Rio Saracazinho",Sapajus_apella,F,60,"1°45'34.8""S 55°51'49.6""W",,,
6,7,JN 360,21494,Museu Emilo Goeldi (MG),"PA - Oriximiná, Cachoeira Porteira",Sapajus_apella,M,59,"1°05'30.2""S 57°02'19.5""W",,,
7,8,JN 361,21497,Museu Emilo Goeldi (MG),"PA - Oriximiná, Cachoeira Porteira",Sapajus_apella,M,59,"1°05'30.2""S 57°02'19.5""W",,,
8,9,JN 812,6317,Museu de Zoologia da USP (MUZUSP),"MT - Rio Aricá, Fazenda Aricá",Sapajus_cay,M,47,"14°11'02.3""S 56°37'13.0""W",,,
9,10,JN 813,6319,Museu de Zoologia da USP (MUZUSP),"MT - Rio Aricá, Fazenda Aricá",Sapajus_cay,M,47,"14°11'02.3""S 56°37'13.0""W",,,
10,11,JN 814,6324,Museu de Zoologia da USP (MUZUSP),MT - Faz. Palmeiras,Sapajus_cay,F,45,"11°53'56.5""S 56°01'50.0""W",Outlier,,
11,13,JN 816,2582,Museu de Zoologia da USP (MUZUSP),BA - Senhor do Bonfim,Sapajus_xanthosternos,M,11,"10°27'43.6""S 40°11'19.0""W",,,
13,14,JN 817,2583,Museu de Zoologia da USP (MUZUSP),BA - Senhor do Bonfim,Sapajus_xanthosternos,M,11,"10°27'43.6""S 40°11'19.0""W",,,
14,15,JN 818,2585,Museu de Zoologia da USP (MUZUSP),BA - Senhor do Bonfim,Sapajus_xanthosternos,F,11,"10°27'43.6""S 40°11'19.0""W",,,
