PCA;ID;Photo;Locality;Species;Biome;Sex;Lat;Long;Ives;Env;PCH
1;0;1005- MN 23233 Sapajus xanthosternos (F);BA - Belmonte;Sapajus_xanthosternos;Forest;F;-15.82;-39.1;Sapajus_xanthosternos;AF;8
2;1;1006- MN 23240 Sapajus libidinosus (F);BA - Faz. Sucurui, itajuípe;Sapajus_libidinosus;Savanna;F;-14.67;-39.43;Sapajus_libidinosus;SV;25
3;2;356 - MG 21764 Cebus apella;RO - UHE de Samuel, rio Jamari, afl. dir. rio Madeira;Sapajus_apella;Forest;F;-8.75;-63.46;Sapajus_apella;AM;15
4;3;357 - MG 21765 Cebus apella;RO - UHE de Samuel, rio Jamari, afl. dir. rio Madeira;Sapajus_apella;Forest;F;-8.75;-63.46;Sapajus_apella_2;AM;15
5;4;358 - MG 21766 Cebus apella;RO - UHE de Samuel, rio Jamari, afl. dir. rio Madeira;Sapajus_apella;Forest;M;-8.75;-63.46;Sapajus_apella_3;AM;15
6;5;359 - MG 26521 Cebus apella;PA - Oriximiná, Rio Saracazinho;Sapajus_apella;Forest;F;-1.48;-56.37;Sapajus_apella_4;AM;15
7;6;360 - MG 21494 Cebus apella;PA - Oriximiná, Cachoeira Porteira;Sapajus_apella;Forest;M;-1.09;-57.04;Sapajus_apella_5;AM;15
8;7;361 - MG 21497 Cebus apella;PA - Oriximiná, Cachoeira Porteira;Sapajus_apella;Forest;M;-1.09;-57.04;Sapajus_apella_6;AM;15
9;8;812 - MUZUSP 6317 Sapajus cay (M);MT - Rio Aricá, Fazenda Arigá;Sapajus_cay;Savanna;M;-14.18;-56.62;Sapajus_cay;SV;17
10;9;813 - MUZUSP 6319 Sapajus cay (M);MT - Rio Aricá Fazenda Arigá;Sapajus_cay;Savanna;M;-14.18;-56.62;Sapajus_cay_2;SV;17
11;10;814 - MUZUSP 6324 Sapajus cay (F);MT - Cáceres;Sapajus_cay;Savanna;F;-16.29;-57.98;Sapajus_cay_3;SV;17
12;12;816 - MUZUSP 2582 Sapajus xanthosternos (M);BA - Senhor do Bonfim;Sapajus_xanthosternos;Forest;M;-10.47;-40.14;Sapajus_xanthosternos_2;AF;8
13;13;817 - MUZUSP 2583 Sapajus xanthosternos (M);BA - Senhor do Bonfim;Sapajus_xanthosternos;Forest;M;-10.47;-40.14;Sapajus_xanthosternos_3;AF;8
14;14;818 - MUZUSP 2585 Sapajus xanthosternos (F);BA - Senhor do Bonfim;Sapajus_xanthosternos;Forest;F;-10.47;-40.14;Sapajus_xanthosternos_4;AF;8
15;15;819 - MUZUSP 2586 Sapajus xanthosternos (M);BA - Senhor do Bonfim;Sapajus_xanthosternos;Forest;M;-10.47;-40.14;Sapajus_xanthosternos_5;AF;8
16;16;820 - MUZUSP 5915 Sapajus robustus (M);MG - Baixo Rio Suaçui;Sapajus_robustus;Forest;M;-18.91;-42.09;Sapajus_robustus;AF;18
17;17;821 - MUZUSP 5916 Sapajus robustus (M);MG - Baixo Rio Suaçui;Sapajus_robustus;Forest;M;-18.91;-42.09;Sapajus_robustus_2;AF;18
18;18;822 - MUZUSP 5919 Sapajus robustus (F);MG - Baixo Rio Suaçui;Sapajus_robustus;Forest;F;-18.91;-42.09;Sapajus_robustus_3;AF;18
19;19;823 - MUZUSP 5920 Sapajus robustus (F);MG - Baixo Rio Suaçui;Sapajus_robustus;Forest;F;-18.91;-42.09;Sapajus_robustus_4;AF;18
20;21;825 - MUZUSP 11095 Sapajus libidinosus (F);GO - Anicuns - Fazenda Agua Clara;Sapajus_libidinosus;Savanna;F;-16.36;-50.02;Sapajus_libidinosus_2;SV;25
21;22;826 - MUZUSP 11096 Sapajus libidinosus (M);GO - Anicuns - Fazenda Agua Clara;Sapajus_libidinosus;Savanna;M;-16.36;-50.02;Sapajus_libidinosus_3;SV;25
22;23;827 - MUZUSP 11097 Sapajus libidinosus (M);GO - Anicuns - Fazenda Agua Clara;Sapajus_libidinosus;Savanna;M;-16.36;-50.02;Sapajus_libidinosus_4;SV;25
23;24;828 - MUZUSP 5321 Sapajus macrocephalus (M);AM - Eirunepé, Santa Cruz, Rio Eiru;Sapajus_apella;Forest;M;-7.28;-70.3;Sapajus_apella_7;AM;15
24;25;829 - MUZUSP 5318 Sapajus macrocephalus (F);AM - Eirunepé, Santa Cruz, Rio Eiru;Sapajus_apella;Forest;F;-7.28;-70.3;Sapajus_apella_8;AM;15
25;26;830 - MUZUSP 779 Sapajus macrocephalus (M);AM - Rio Juruá;Sapajus_apella;Forest;M;-2.63;-65.82;Sapajus_apella_9;AM;15
26;27;831 - MUZUSP 10542 Sapajus macrocephalus (F);AM - Eirunepé;Sapajus_apella;Forest;F;-6.66;-69.87;Sapajus_apella_10;AM;15
27;28;832 - MUZUSP 19622 Sapajus nigritus (F);SP - São Vicente, Estação Engenheiro Ferraz;Sapajus_nigritus;Forest;F;-23.98;-46.62;Sapajus_nigritus;AF;19
28;29;833 - MUZUSP 6015 Sapajus nigritus (F);SP - Porto Cabral, Rio Paraná;Sapajus_nigritus;Forest;F;-24.51;-47.7;Sapajus_nigritus_2;AF;19
29;30;834 - MUZUSP 6887 Sapajus nigritus (M);SP - Boracéia;Sapajus_nigritus;Forest;M;-22.12;-48.82;Sapajus_nigritus_3;AF;19
