Id	biome	traj1	traj2	sp_ives	sp	local_orgmenos1	long	lat	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	AET	NPP	CHMmais2	Centroid Size	Log Centroid Size	ProcCoord1	ProcCoord2	ProcCoord3	ProcCoord4	ProcCoord5	ProcCoord6	ProcCoord7	ProcCoord8	ProcCoord9	ProcCoord10	ProcCoord11	ProcCoord12	ProcCoord13	ProcCoord14	ProcCoord15	ProcCoord16	ProcCoord17	ProcCoord18	ProcCoord19	ProcCoord20	ProcCoord21	ProcCoord22	ProcCoord23	ProcCoord24	ProcCoord25	ProcCoord26	ProcCoord27	ProcCoord28	ProcCoord29	ProcCoord30	ProcCoord31	ProcCoord32	ProcCoord33	ProcCoord34	ProcCoord35	ProcCoord36	ProcCoord37	ProcCoord38	ProcCoord39	ProcCoord40	ProcCoord41	ProcCoord42	ProcCoord43	ProcCoord44	ProcCoord45	ProcCoord46
2	AM	cladeone	0	Sapajus_apella_1	Sapajus_apella	1	-61.933	-10.867	1.389166084	2.113943352	1.838849091	2.725911632	2.5289167	2.181843588	2.269512944	2.389166084	2.383815366	2.399673721	2.376576957	3.284881715	2.5132176	0.77815125	1.851258349	2.951823035	1.672097858	2.40654018	1.973127854	1.983766969	-0.068033876	0.301029996	11.07890291	2.405042661	-0.364243566	-0.087854609	-0.193408684	0.161687121	0.022681315	0.095272162	-0.050013993	-0.105223143	-0.051629231	-0.015972329	0.064743049	-0.003682176	0.16169716	-0.022058144	0.211239224	-0.037590364	0.221637147	-0.049991793	0.236654443	-0.127174726	0.168997091	0.027186605	0.150587591	0.017650029	0.111670784	0.024232127	0.073865423	0.028142022	0.021553451	0.028725235	-0.022891469	0.01795069	-0.023357037	-0.007543682	0.017138793	-0.003852456	0.099416043	-0.009105944	0.132455759	-0.01311995	-0.069972917	0.182152999	-0.479743571	-0.081178083	-0.439076805	-0.018651592
3	AM	cladeone	0	Sapajus_apella_2	Sapajus_apella	2	-63.467	-8.75	1.414973348	2.012837225	1.857332496	2.762678564	2.51851394	2.271841607	2.155336037	2.411619706	2.408239965	2.426511261	2.401400541	3.359835482	2.558708571	1.361727836	1.799340549	3.004321374	1.991226076	2.699837726	2.274157849	2.038624145	-0.069050976	1.491361694	10.94438485	2.389538978	-0.364523344	-0.086335507	-0.204745204	0.164651407	0.020144811	0.093356832	-0.056578167	-0.097366772	-0.044778483	-0.007415061	0.06724032	-0.009621901	0.160834143	-0.023109818	0.201252704	-0.031628918	0.214704815	-0.043435392	0.239003196	-0.11454131	0.17321205	0.016339633	0.14822128	0.012915871	0.11385328	0.019576074	0.078465005	0.024207912	0.029809542	0.025372551	-0.014715423	0.01980803	-0.018522662	-0.004413176	0.02339729	-0.006081671	0.099979008	-0.014944776	0.131279243	-0.019146741	-0.074866505	0.184197582	-0.483445642	-0.080624994	-0.439221259	-0.021759854
4	AM	cladeone	0	Sapajus_apella_3	Sapajus_apella	3	-45.233	-5.5	1.423245874	2.041392685	1.84509804	2.911157609	2.536558443	2.276461804	2.190331698	2.414973348	2.423245874	2.442479769	2.408239965	3.057666104	2.392696953	0.77815125	1.929418926	2.798650645	1.51851394	1.838849091	2.389166084	1.850494895	-0.280668722	1.079181246	9.996489687	2.302234	-0.36282235	-0.086656678	-0.187504905	0.16758859	0.024063765	0.086409708	-0.052216153	-0.094630414	-0.056334375	-0.005069115	0.062485738	-0.007864005	0.15888105	-0.028377407	0.210192185	-0.03358771	0.219202529	-0.040289383	0.249189067	-0.115637272	0.176788225	0.021777112	0.152948275	0.01221007	0.112462387	0.019098124	0.072408014	0.024877841	0.019786543	0.027526505	-0.02710641	0.016843776	-0.031920918	-8.81E-04	0.012900508	-0.001219768	0.100277662	-0.009172528	0.136287844	-0.018319033	-0.065009348	0.169816176	-0.483571652	-0.081543904	-0.441387681	-0.022899613
5	AM	cladeone	0	Sapajus_apella_4	Sapajus_apella	4	-49.217	-5.233	1.431363764	1.991226076	1.908485019	2.521138084	2.522444234	2.328379603	2.079181246	2.424881637	2.436162647	2.437750563	2.424881637	3.280805928	2.555094449	1.204119983	1.892094603	2.992111488	1.826074803	1.913813852	2.992111488	1.961619455	-0.136677129	0.301029996	11.18072754	2.412219823	-0.367253756	-0.087049995	-0.206308436	0.174467005	0.023882241	0.103155321	-0.061285973	-0.095896174	-0.042289514	-0.014647788	0.06513767	-0.011303964	0.166667956	-0.021989876	0.201800374	-0.028606535	0.21515929	-0.040452345	0.236852722	-0.111807063	0.167432408	0.018140537	0.144742521	0.010810751	0.111233685	0.015707287	0.076516364	0.021185974	0.030569928	0.020579896	-0.011773059	0.012790991	-0.015634777	-0.009569265	0.024842562	-0.009051288	0.097991253	-0.017005101	0.128912691	-0.019140459	-0.070123977	0.196436074	-0.476272105	-0.080948605	-0.440800067	-0.025805377
6	AM	cladeone	0	Sapajus_apella_5	Sapajus_apella	5	-72.883	-5.167	1.418301291	2	1.919078092	2.600972896	2.506505032	2.303196057	2.079181246	2.419955748	2.411619706	2.424881637	2.408239965	3.378579576	2.456366033	2.004321374	1.477121255	2.892094603	2.547774705	2.796574333	2.550228353	2.104203285	-0.007446491	1.51851394	10.27046221	2.329272029	-0.368839817	-0.086307774	-0.210997325	0.159347383	0.021910201	0.093705871	-0.056344677	-0.092765219	-0.047412097	-0.005163129	0.067934884	-0.007715976	0.164325149	-0.024530816	0.201502843	-0.035144788	0.211743342	-0.043672979	0.237241031	-0.112972526	0.174681984	0.015181492	0.152544522	0.009777611	0.116767244	0.019249677	0.081553347	0.024146341	0.030167281	0.028083285	-0.016554936	0.023027851	-0.02015746	0.001259329	0.023069382	-0.00390097	0.101367052	-0.015455216	0.134683405	-0.019165781	-0.080526427	0.172931052	-0.485702144	-0.07858133	-0.432956784	-0.021333388
7	AM	cladeone	0	Sapajus_apella_6	Sapajus_apella	6	-46.567	-4.983	1.411619706	2.064457989	1.875061263	2.666517981	2.523746467	2.257678575	2.184691431	2.408239965	2.413299764	2.421603927	2.401400541	3.090610708	2.396199347	1.041392685	1.908485019	2.829303773	1.653212514	2.164352856	2.056904851	1.913615205	-0.175223549	1.447158031	10.17029835	2.319214867	-0.368287455	-0.08941508	-0.202496461	0.167257324	0.008204734	0.085440522	-0.064856521	-0.096564858	-0.037736681	-0.003192333	0.065354308	-0.011295119	0.164199599	-0.024613115	0.196991053	-0.035683953	0.208512061	-0.042898909	0.23535159	-0.113643439	0.181657324	0.017030601	0.154568942	0.016492951	0.117896249	0.024133214	0.07978368	0.032740007	0.032140428	0.032393062	-0.012661745	0.019055694	-0.016265929	-0.001413022	0.023901302	-0.007359848	0.099388635	-0.017108393	0.132236817	-0.024142749	-0.077421744	0.175707625	-0.487599698	-0.085157248	-0.432860487	-0.017762934
8	AM	cladeone	0	Sapajus_apella_7	Sapajus_apella	7	-45.9	-4.733	1.419955748	2.037426498	1.892094603	2.728353782	2.521138084	2.28780173	2.139879086	2.414973348	2.421603927	2.431363764	2.409933123	3.122215878	2.418301291	1.079181246	1.919078092	2.870403905	1.643452676	2.08278537	2.190331698	1.907316229	-0.225483013	1.361727836	10.48048473	2.345143856	-0.355981164	-0.092997852	-0.200762789	0.17733104	0.013820074	0.107144976	-0.06043147	-0.09646621	-0.043533137	-0.009519185	0.06637845	-0.013498328	0.165985345	-0.022381113	0.193643131	-0.032797819	0.2045607	-0.044002471	0.230306862	-0.112014441	0.170879313	0.01835201	0.153777999	0.008445113	0.117644213	0.016135394	0.080873833	0.022382472	0.031869766	0.023692692	-0.012699441	0.017973051	-0.016657072	-0.004089645	0.024675503	-0.005352205	0.101394791	-0.020726564	0.134243282	-0.023836738	-0.075548433	0.197872882	-0.488601972	-0.088597913	-0.435837787	-0.023049146
9	AM	cladeone	0	Sapajus_apella_8	Sapajus_apella	8	-49.483	-4.65	1.431363764	2.004321374	1.934498451	2.474216264	2.519827994	2.330413773	2.068185862	2.428134794	2.437750563	2.437750563	2.424881637	3.33825723	2.611723308	1.342422681	1.897627091	3.056142262	1.934498451	2.155336037	3.048053173	1.959673283	-0.052076368	0.301029996	10.85968536	2.38476735	-0.369348343	-0.087247183	-0.196196891	0.16720377	0.029404012	0.103462637	-0.055793798	-0.097827386	-0.044209954	-0.014596793	0.065322992	-0.010592269	0.160743991	-0.019742438	0.205365611	-0.032799959	0.217074606	-0.040623362	0.236720518	-0.113451975	0.160565143	0.023694447	0.14479491	0.011047336	0.111687039	0.016497303	0.077468977	0.022200037	0.028540087	0.022489366	-0.014080057	0.015762076	-0.018392038	-0.009242087	0.022545179	-0.008208516	0.097566005	-0.01708245	0.13044168	-0.018920182	-0.067512888	0.195197878	-0.481834172	-0.083385924	-0.440872609	-0.023834326
10	AM	cladeone	0	Sapajus_apella_9	Sapajus_apella	9	-49.783	-4.317	1.432969291	2.012837225	1.939519253	2.517195898	2.521138084	2.330413773	2.071882007	2.428134794	2.437750563	2.439332694	2.424881637	3.362859303	2.630427875	1.414973348	1.886490725	3.081347308	1.973127854	2.139879086	3.06595298	1.986999104	-0.052076368	1.431363764	12.09032915	2.492405889	-0.373693561	-0.085463051	-0.222448177	0.180725061	0.034974623	0.095332683	-0.054390041	-0.102340781	-0.042855566	-0.006109159	0.058018031	-0.015651128	0.157728847	-0.017389485	0.2103881	-0.02584463	0.229282468	-0.054562278	0.247259035	-0.125144049	0.16720854	0.01720298	0.13733645	0.01110355	0.103363663	0.017102327	0.071736527	0.022362189	0.030306598	0.027167447	-0.008266382	0.021936064	-0.016226008	-0.003044822	0.019740626	-0.008732998	0.091958848	-0.017276206	0.123241873	-0.021048606	-0.072667124	0.202047124	-0.463948846	-0.080885995	-0.428048523	-0.031486239
11	AM	cladeone	0	Sapajus_apella_10	Sapajus_apella	10	-51.217	-3.217	1.423245874	1.963787827	1.897627091	2.667452953	2.51054501	2.318063335	2.064457989	2.418301291	2.42975228	2.432969291	2.414973348	3.355259906	2.59439255	1.51851394	1.84509804	3.005609445	2.079181246	2.217483944	2.973127854	2.034693417	-0.066006823	1.579783597	11.51676753	2.44380402	-0.364722135	-0.084805738	-0.212074982	0.170638242	0.022662657	0.110752377	-0.043975364	-0.096549129	-0.044534254	-0.01046234	0.066308204	-0.008701291	0.161968186	-0.026168161	0.204297735	-0.035353318	0.222118756	-0.049999232	0.24346053	-0.119959335	0.159895992	0.018599844	0.138596993	0.011096027	0.108370279	0.015418669	0.078301405	0.023047609	0.030781757	0.023447417	-0.013687438	0.017988865	-0.015094427	-0.010924409	0.02565318	-0.003882925	0.097317693	-0.016378591	0.127652037	-0.018333204	-0.08015496	0.195605471	-0.473272305	-0.078124371	-0.439869537	-0.02695248
